,aqi,city,clouds_all,components_co,components_nh3,components_no,components_no2,components_o3,components_pm10,components_pm2_5,components_so2,dt,feels_like,humidity,lat,lon,pressure,sunrise,sunset,temp,temp_max,temp_min,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_speed,dt_pt
0,1.0,Alameda,1.0,223.64,1.08,0.02,17.99,30.4,7.5,2.81,2.03,1622785171.0,288.31,72.0,37.5999,-121.8844,1011.0,1622724431.0,1622777080.0,288.81,292.7,283.52,10000.0,clear sky,01n,800.0,Clear,214.0,2.33,2021-06-03 22:50:14.437531
1,1.0,Albany,100.0,201.94,0.08,0.02,2.57,14.13,1.96,1.89,0.25,1622784939.0,290.95,94.0,42.6001,-73.9662,1009.0,1622798378.0,1622852950.0,290.69,292.67,289.38,10000.0,overcast clouds,04n,804.0,Clouds,195.0,1.09,2021-06-03 22:50:14.437531
2,1.0,Antioch,6.0,208.62,0.63,2.07,9.25,75.1,14.17,8.77,6.8,1622784955.0,296.96,56.0,36.2066,36.1572,1014.0,1622773125.0,1622825337.0,297.05,297.05,297.05,10000.0,clear sky,01d,800.0,Clear,268.0,2.38,2021-06-03 22:50:14.437531
3,1.0,Atherton,35.0,175.24,1.35,0.45,8.14,52.93,3.56,1.64,2.18,1622785181.0,282.62,85.0,53.5237,-2.4935,1022.0,1622778308.0,1622838709.0,282.62,286.01,280.57,10000.0,scattered clouds,03d,802.0,Clouds,269.0,0.7,2021-06-03 22:50:14.437531
4,1.0,Belmont,1.0,166.89,0.09,0.0,3.04,50.07,3.76,1.66,1.13,1622785090.0,288.19,78.0,37.5202,-122.2758,1009.0,1622724539.0,1622777161.0,288.56,292.84,284.15,10000.0,mist,50n,701.0,Mist,0.0,0.0,2021-06-03 22:50:14.437531
5,1.0,Belvedere,1.0,191.93,0.18,0.0,3.9,22.17,4.02,3.58,1.15,1622785186.0,295.15,88.0,33.531,-81.9448,1012.0,1622801889.0,1622853269.0,294.65,296.14,293.07,10000.0,clear sky,01n,800.0,Clear,136.0,0.45,2021-06-03 22:50:14.437531
6,1.0,Benicia,10.0,190.26,1.16,0.0,8.05,41.49,2.66,1.35,1.48,1622785189.0,288.02,74.0,38.0494,-122.1586,1010.0,1622724419.0,1622777224.0,288.5,293.21,284.18,10000.0,clear sky,01n,800.0,Clear,208.0,3.33,2021-06-03 22:50:14.437531
7,1.0,Berkeley,20.0,183.58,0.53,0.0,7.37,42.92,3.36,1.47,1.33,1622784940.0,287.39,80.0,37.8716,-122.2728,1011.0,1622724478.0,1622777220.0,287.78,292.91,284.81,10000.0,few clouds,02n,801.0,Clouds,180.0,1.34,2021-06-03 22:50:14.437531
8,1.0,Brentwood,90.0,201.94,0.09,0.0,5.01,25.03,2.22,1.91,1.3,1622785136.0,291.51,88.0,40.7812,-73.2462,1013.0,1622798566.0,1622852416.0,291.34,293.58,289.68,10000.0,overcast clouds,04n,804.0,Clouds,243.0,2.24,2021-06-03 22:50:14.437531
9,1.0,Brisbane,0.0,220.3,0.82,0.98,3.38,30.04,0.71,0.53,1.8,1622785197.0,293.12,53.0,-27.4679,153.0281,1012.0,1622752301.0,1622790057.0,293.63,295.32,291.48,10000.0,clear sky,01d,800.0,Clear,283.0,0.45,2021-06-03 22:50:14.437531
10,1.0,Burlingame,1.0,166.89,0.09,0.0,3.04,50.07,3.76,1.66,1.13,1622785120.0,287.82,82.0,37.5841,-122.3661,1012.0,1622724549.0,1622777193.0,288.13,292.42,285.08,10000.0,clear sky,01n,800.0,Clear,330.0,5.14,2021-06-03 22:50:14.437531
11,1.0,Calistoga,7.0,155.21,0.56,0.0,1.74,43.27,1.02,0.74,0.1,1622785011.0,290.39,66.0,38.5788,-122.5797,1010.0,1622724428.0,1622777417.0,290.84,294.81,286.23,10000.0,clear sky,01n,800.0,Clear,276.0,1.42,2021-06-03 22:50:14.437531
12,1.0,Campbell,79.0,253.68,0.14,0.01,5.4,9.48,5.67,5.45,0.79,1622785206.0,288.8,98.0,38.9501,-84.3833,1015.0,1622801578.0,1622854751.0,288.64,290.42,287.05,10000.0,broken clouds,04n,803.0,Clouds,279.0,1.81,2021-06-03 22:50:14.437531
13,1.0,Clayton,90.0,216.96,0.42,0.0,4.11,25.03,3.94,3.0,0.78,1622785030.0,294.36,84.0,33.5335,-84.3666,1018.0,1622802470.0,1622853851.0,294.02,295.92,291.67,10000.0,overcast clouds,04n,804.0,Clouds,218.0,1.44,2021-06-03 22:50:14.437531
14,1.0,Cloverdale,10.0,161.89,0.28,0.0,1.09,45.78,1.69,1.07,0.24,1622785212.0,290.28,68.0,38.8055,-123.0172,1011.0,1622724493.0,1622777563.0,290.69,292.84,288.25,10000.0,clear sky,01n,800.0,Clear,336.0,2.74,2021-06-03 22:50:14.437531
15,1.0,Colma,1.0,161.89,0.05,0.0,1.25,53.64,3.47,1.6,0.89,1622785214.0,287.25,86.0,37.6769,-122.4597,1010.0,1622724556.0,1622777232.0,287.51,292.25,284.91,10000.0,clear sky,01n,800.0,Clear,211.0,1.34,2021-06-03 22:50:14.437531
16,1.0,Concord,6.0,247.0,1.0,0.01,26.05,26.82,5.48,2.66,3.19,1622785187.0,287.93,70.0,37.978,-122.0311,1004.0,1622724401.0,1622777181.0,288.51,293.1,284.07,10000.0,clear sky,01n,800.0,Clear,257.0,1.79,2021-06-03 22:50:14.437531
17,1.0,Corte Madera,22.0,163.56,0.33,0.0,1.61,50.07,3.11,1.36,0.58,1622785220.0,287.39,83.0,37.9255,-122.5275,1009.0,1622724529.0,1622777291.0,287.71,292.61,285.01,10000.0,few clouds,02n,801.0,Clouds,236.0,3.18,2021-06-03 22:50:14.437531
18,1.0,Cotati,1.0,165.22,0.5,0.0,1.65,48.64,1.19,0.76,0.24,1622785223.0,289.86,64.0,38.3269,-122.7072,1009.0,1622724503.0,1622777404.0,290.41,293.03,284.89,10000.0,clear sky,01n,800.0,Clear,254.0,4.47,2021-06-03 22:50:14.437531
19,1.0,Cupertino,1.0,171.9,0.18,0.0,3.51,46.49,3.77,1.73,0.97,1622785107.0,288.54,73.0,37.323,-122.0322,1011.0,1622724514.0,1622777069.0,288.99,292.45,283.75,10000.0,clear sky,01n,800.0,Clear,297.0,0.45,2021-06-03 22:50:14.437531
20,1.0,Daly City,1.0,161.89,0.05,0.0,1.25,53.64,3.47,1.6,0.89,1622784962.0,286.74,86.0,37.7058,-122.4619,1011.0,1622724551.0,1622777237.0,287.05,291.73,284.61,10000.0,clear sky,01n,800.0,Clear,242.0,4.02,2021-06-03 22:50:14.437531
21,1.0,Danville,90.0,180.24,0.1,0.0,2.08,20.03,1.31,1.15,0.61,1622785086.0,294.91,92.0,36.586,-79.395,1016.0,1622800790.0,1622853144.0,294.33,295.51,293.46,10000.0,light rain,10n,500.0,Rain,270.0,2.57,2021-06-03 22:50:14.437531
22,1.0,Dixon,1.0,170.23,0.81,0.0,2.38,53.64,1.09,0.86,0.1,1622785233.0,294.79,50.0,38.4455,-121.8233,1007.0,1622724270.0,1622777212.0,295.22,300.52,287.35,10000.0,clear sky,01n,800.0,Clear,211.0,3.43,2021-06-03 22:50:14.437531
23,1.0,Dublin,1.0,223.64,0.91,0.0,16.79,31.83,8.18,3.06,2.3,1622785236.0,287.84,74.0,37.7021,-121.9358,1011.0,1622724426.0,1622777110.0,288.33,292.66,284.42,10000.0,clear sky,01n,800.0,Clear,215.0,2.7,2021-06-03 22:50:14.437531
24,1.0,East Palo Alto,75.0,178.58,0.23,0.0,6.0,47.21,5.16,1.93,1.62,1622785238.0,288.8,78.0,37.4688,-122.1411,1011.0,1622724515.0,1622777119.0,289.11,292.88,284.18,10000.0,broken clouds,04n,803.0,Clouds,321.0,0.45,2021-06-03 22:50:14.437531
25,1.0,El Cerrito,75.0,433.92,2.22,0.0,10.71,13.23,7.17,6.35,1.46,1622785241.0,294.56,94.0,3.6855,-76.3137,1017.0,1622804045.0,1622848410.0,293.97,293.97,285.61,10000.0,broken clouds,04n,803.0,Clouds,105.0,1.05,2021-06-03 22:50:14.437531
26,1.0,Emeryville,20.0,183.58,0.53,0.0,7.37,42.92,3.36,1.47,1.33,1622785244.0,287.68,82.0,37.8313,-122.2852,1011.0,1622724487.0,1622777216.0,288.0,293.33,285.09,10000.0,few clouds,02n,801.0,Clouds,165.0,0.89,2021-06-03 22:50:14.437531
27,1.0,Fairfax,90.0,181.91,0.06,0.0,2.23,16.81,1.52,1.38,0.72,1622785247.0,294.46,93.0,38.8501,-77.3497,1015.0,1622799908.0,1622853044.0,293.9,295.07,292.21,10000.0,overcast clouds,04n,804.0,Clouds,222.0,0.45,2021-06-03 22:50:14.437531
28,1.0,Fairfield,90.0,283.72,0.03,0.01,28.79,6.08,5.57,5.25,4.83,1622784957.0,291.17,94.0,41.2668,-73.3162,1012.0,1622798489.0,1622852527.0,290.89,292.88,289.25,10000.0,overcast clouds,04n,804.0,Clouds,310.0,0.45,2021-06-03 22:50:14.437531
29,1.0,Foster City,1.0,166.89,0.09,0.0,3.04,50.07,3.76,1.66,1.13,1622785150.0,288.15,78.0,37.5586,-122.2711,1008.0,1622724531.0,1622777166.0,288.52,292.9,284.21,10000.0,clear sky,01n,800.0,Clear,0.0,0.0,2021-06-03 22:50:14.437531
30,1.0,Fremont,75.0,223.64,1.08,0.02,17.99,30.4,7.5,2.81,2.03,1622784980.0,288.89,78.0,37.5483,-121.9886,1011.0,1622724465.0,1622777096.0,289.19,292.81,284.11,10000.0,broken clouds,04n,803.0,Clouds,261.0,0.45,2021-06-03 22:50:14.437531
31,1.0,Gilroy,1.0,211.95,1.17,0.0,13.88,50.07,4.62,2.56,3.19,1622785257.0,286.02,78.0,37.0058,-121.5683,1012.0,1622724456.0,1622776904.0,286.58,293.01,283.33,10000.0,clear sky,01n,800.0,Clear,150.0,2.06,2021-06-03 22:50:14.437531
32,1.0,Half Moon Bay,20.0,160.22,0.0,0.0,0.89,55.08,3.96,1.78,1.04,1622785144.0,287.75,81.0,37.4636,-122.4286,1013.0,1622724585.0,1622777188.0,288.09,292.7,284.08,8047.0,mist,50n,701.0,Mist,140.0,1.54,2021-06-03 22:50:14.437531
33,1.0,Hayward,1.0,247.0,0.86,0.05,21.94,25.75,6.79,3.12,2.24,1622784643.0,288.34,79.0,37.6688,-122.0808,1009.0,1622724466.0,1622777139.0,288.67,293.47,284.66,10000.0,clear sky,01n,800.0,Clear,165.0,2.68,2021-06-03 22:50:14.437531
34,1.0,Healdsburg,1.0,158.55,0.27,0.0,0.94,47.21,1.25,0.88,0.17,1622785264.0,290.75,60.0,38.6105,-122.8692,1009.0,1622724492.0,1622777492.0,291.31,292.94,288.19,10000.0,clear sky,01n,800.0,Clear,323.0,1.69,2021-06-03 22:50:14.437531
35,1.0,Hercules,14.0,171.9,1.16,0.0,3.0,45.42,2.17,1.05,0.41,1622785267.0,287.81,76.0,38.0171,-122.2886,1008.0,1622724456.0,1622777249.0,288.26,293.14,285.05,10000.0,few clouds,02n,801.0,Clouds,144.0,1.79,2021-06-03 22:50:14.437531
36,1.0,Hillsborough,1.0,166.89,0.09,0.0,3.04,50.07,3.76,1.66,1.13,1622785270.0,287.35,81.0,37.5741,-122.3794,1012.0,1622724554.0,1622777195.0,287.72,292.02,284.35,10000.0,clear sky,01n,800.0,Clear,330.0,5.14,2021-06-03 22:50:14.437531
37,1.0,Lafayette,1.0,267.03,0.9,0.39,5.83,1.61,4.69,4.0,0.05,1622785070.0,296.65,95.0,30.2335,-92.0668,1016.0,1622804800.0,1622855217.0,295.84,296.99,295.22,10000.0,clear sky,01n,800.0,Clear,30.0,2.57,2021-06-03 22:50:14.437531
38,1.0,Larkspur,22.0,163.56,0.33,0.0,1.61,50.07,3.11,1.36,0.58,1622785275.0,287.48,81.0,37.9341,-122.5352,1009.0,1622724530.0,1622777294.0,287.84,292.69,285.05,10000.0,few clouds,02n,801.0,Clouds,239.0,3.1,2021-06-03 22:50:14.437531
39,1.0,Livermore,1.0,216.96,1.05,0.0,16.28,38.62,6.75,2.7,2.95,1622785210.0,287.87,61.0,37.6819,-121.768,1012.0,1622724389.0,1622777066.0,288.67,292.42,284.18,10000.0,clear sky,01n,800.0,Clear,300.0,3.09,2021-06-03 22:50:14.437531
40,1.0,Los Altos,75.0,171.9,0.18,0.0,3.51,46.49,3.77,1.73,0.97,1622784993.0,288.59,75.0,37.3852,-122.1141,1011.0,1622724523.0,1622777099.0,288.99,292.6,283.9,10000.0,broken clouds,04n,803.0,Clouds,0.0,0.89,2021-06-03 22:50:14.437531
41,1.0,Los Altos Hills,75.0,171.9,0.18,0.0,3.51,46.49,3.77,1.73,0.97,1622785136.0,288.31,75.0,37.3797,-122.1375,1011.0,1622724529.0,1622777103.0,288.74,292.38,283.69,10000.0,broken clouds,04n,803.0,Clouds,94.0,0.89,2021-06-03 22:50:14.437531
42,1.0,Los Gatos,1.0,206.95,0.76,0.0,14.4,38.27,4.41,2.02,2.56,1622785278.0,287.82,75.0,37.2266,-121.9747,1011.0,1622724516.0,1622777038.0,288.29,292.23,283.53,10000.0,clear sky,01n,800.0,Clear,217.0,1.0,2021-06-03 22:50:14.437531
43,1.0,Martinez,9.0,190.26,1.16,0.0,8.05,41.49,2.66,1.35,1.48,1622785288.0,288.01,73.0,38.0194,-122.1341,1010.0,1622724419.0,1622777212.0,288.51,293.21,284.18,10000.0,clear sky,01n,800.0,Clear,206.0,3.55,2021-06-03 22:50:14.437531
44,1.0,Menlo Park,75.0,193.6,0.07,0.0,9.51,16.27,1.37,1.23,2.44,1622785098.0,293.8,95.0,40.5187,-74.4121,1013.0,1622798896.0,1622852646.0,293.25,294.85,291.47,10000.0,broken clouds,04n,803.0,Clouds,259.0,0.45,2021-06-03 22:50:14.437531
45,1.0,Mill Valley,23.0,163.56,0.33,0.0,1.61,50.07,3.11,1.36,0.58,1622785293.0,287.29,84.0,37.906,-122.545,1009.0,1622724537.0,1622777291.0,287.6,292.35,284.94,10000.0,few clouds,02n,801.0,Clouds,248.0,3.3,2021-06-03 22:50:14.437531
46,1.0,Millbrae,1.0,166.89,0.09,0.0,3.04,50.07,3.76,1.66,1.13,1622785296.0,287.74,84.0,37.5985,-122.3872,1012.0,1622724552.0,1622777201.0,288.01,292.46,285.12,10000.0,clear sky,01n,800.0,Clear,330.0,5.14,2021-06-03 22:50:14.437531
47,1.0,Milpitas,1.0,223.64,1.08,0.02,17.99,30.4,7.5,2.81,2.03,1622785299.0,289.21,73.0,37.4283,-121.9066,1013.0,1622724466.0,1622777056.0,289.6,292.88,284.19,10000.0,clear sky,01n,800.0,Clear,360.0,2.06,2021-06-03 22:50:14.437531
